DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-9:29:12,60.07276,132.4379,412.8161,1354.384,-3.25596e-2,-1.06823e-1,,,,,,,
10-7-2021-9:29:13,48.37737,106.6539,412.8177,1354.389,0.0,0.0,,,,,,,
10-7-2021-9:29:14,52.65311,116.0803,412.8177,1354.389,-3.25596e-2,-1.06823e-1,,,,,,,
10-7-2021-9:29:15,58.18641,128.2792,412.8174,1354.388,0.0,0.0,,,,,,,
10-7-2021-9:29:16,57.93492,127.7247,412.8174,1354.388,0.0,0.0,,,,,,,
10-7-2021-9:29:17,56.17431,123.8433,412.8193,1354.394,1.62798e-1,5.34115e-1,,,,,,,
10-7-2021-9:29:18,51.14405,112.7534,412.8109,1354.367,-9.76788e-2,-3.20469e-1,,,,,,,
10-7-2021-9:29:19,71.6424,157.9446,412.5285,1353.44,-20.0893,-65.90977,,,,,,,
10-7-2021-9:29:20,65.8576,145.1913,412.0121,1351.746,-35.22953,-115.5825,,,,,,,
10-7-2021-9:29:21,70.88787,156.2811,411.396,1349.724,-35.00161,-114.8347,,,,,,,
10-7-2021-9:29:22,72.01969,158.7764,410.7773,1347.695,-35.55513,-116.6507,,,,,,,
10-7-2021-9:29:23,74.03178,163.2123,410.035,1345.259,-44.11832,-144.7451,,,,,,,
10-7-2021-9:29:24,69.8818,154.0631,409.2468,1342.673,-47.08124,-154.466,,,,,,,
10-7-2021-9:29:25,69.6303,153.5087,408.4726,1340.133,-46.72309,-153.291,,,,,,,
10-7-2021-9:29:26,70.13334,154.6177,407.673,1337.51,-47.92779,-157.2434,,,,,,,
10-7-2021-9:29:27,68.74998,151.5679,406.7432,1334.459,-51.28143,-168.2462,,,,,,,
10-7-2021-9:29:28,68.62423,151.2906,405.7935,1331.344,-56.52354,-185.4447,,,,,,,
10-7-2021-9:29:29,64.97727,143.2505,404.8021,1328.091,-56.94681,-186.8334,,,,,,,
10-7-2021-9:29:30,66.73788,147.132,403.8228,1324.878,-58.41199,-191.6404,,,,,,,
10-7-2021-9:29:31,67.24091,148.241,402.8311,1321.625,-57.53289,-188.7562,,,,,,,
10-7-2021-9:29:32,65.22882,143.8051,401.8663,1318.459,-56.3933,-185.0174,,,,,,,
