DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI
10-7-2021-8:27:24,19.70484,43.44177,2.406429,7.895108,26.95938,88.44942
10-7-2021-8:27:25,23.85478,52.59082,2.854124,9.363923,26.08027,85.5652
10-7-2021-8:27:26,20.71086,45.65967,3.24701,10.65292,26.82914,88.02213
10-7-2021-8:27:27,22.72296,50.09558,3.718311,12.19918,28.48969,93.4701
10-7-2021-8:27:28,22.9745,50.65015,4.182829,13.72319,26.17795,85.88567
10-7-2021-8:27:29,21.59119,47.60046,4.661184,15.2926,28.16409,92.40187
10-7-2021-8:27:30,20.96241,46.21423,5.143338,16.87447,28.58737,93.79057
10-7-2021-8:27:31,20.58512,45.38245,5.605685,18.39136,27.05706,88.76989
10-7-2021-8:27:32,23.98058,52.86816,6.079156,19.94474,26.69891,87.59484
10-7-2021-8:27:33,21.71694,47.87769,6.555613,21.50792,28.68504,94.11103
10-7-2021-8:27:34,21.2139,46.76868,7.065985,23.18237,32.16893,105.5411
10-7-2021-8:27:35,20.20782,44.55066,7.674307,25.17817,35.94585,117.9326
10-7-2021-8:27:36,19.83059,43.71899,8.267707,27.12502,35.09929,115.1552
10-7-2021-8:27:37,20.58512,45.38245,9.041541,29.66385,48.70922,159.8072
10-7-2021-8:27:38,20.58512,45.38245,10.00612,32.82848,58.63992,192.3882
10-7-2021-8:27:39,21.46539,47.32312,11.08873,36.38034,59.55159,195.3792
10-7-2021-8:27:40,23.47754,51.75916,12.20444,40.04081,65.50999,214.9278
10-7-2021-8:27:41,22.72296,50.09558,13.33562,43.75202,67.13799,220.269
10-7-2021-8:27:42,22.09417,48.70935,14.46136,47.44542,65.50999,214.9278
10-7-2021-8:27:43,21.59119,47.60046,15.60638,51.20203,67.49614,221.444
10-7-2021-8:27:44,23.98058,52.86816,16.73159,54.89365,66.25887,217.3848
10-7-2021-8:27:45,25.36389,55.91785,17.85815,58.58973,66.32399,217.5984
